antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
rubber,cuir,0.07414829659318638,0.5390781563126252,0.05410821643286573,0.7297297297297297,1.353662212398272,1.0,0.014136489411689108,1.7054108216432866,0.2821869488536155,0.0967741935483871,0.4136310223266745,0.4150507384708128
cuir,rubber,0.5390781563126252,0.07414829659318638,0.05410821643286573,0.10037174721189591,1.3536622123982718,1.0,0.014136489411689108,1.029149207505921,0.5668276972624798,0.0967741935483871,0.028323597096831295,0.4150507384708128
gomme,cuir,0.3927855711422846,0.5390781563126252,0.25250501002004005,0.6428571428571428,1.192511949017525,1.0,0.040762888502455796,1.290581162324649,0.26585991932526576,0.37168141592920356,0.2251552795031055,0.5556293149229952
cuir,gomme,0.5390781563126252,0.3927855711422846,0.25250501002004005,0.46840148698884754,1.192511949017525,1.0,0.040762888502455796,1.1422425270120662,0.3502415458937197,0.37168141592920356,0.1245291815426895,0.5556293149229952
lacets,cuir,0.533066132264529,0.5390781563126252,0.3346693386773547,0.6278195488721805,1.1646169326662381,1.0,0.047305030903490364,1.238436468897391,0.3027164555010152,0.4538043478260869,0.1925302386400786,0.6243186963691758
cuir,lacets,0.5390781563126252,0.533066132264529,0.3346693386773547,0.620817843866171,1.1646169326662381,1.0,0.047305030903490364,1.2314236315768794,0.3066649310075502,0.4538043478260869,0.18793177720694995,0.6243186963691758
cuir,"lacets, caoutchouc",0.5390781563126252,0.15030060120240482,0.09418837675350701,0.17472118959107807,1.1624783147459727,1.0,0.013164605764635476,1.0295907129574464,0.3032377428307121,0.15824915824915822,0.028740267938556496,0.40069392812887233
"lacets, caoutchouc",cuir,0.15030060120240482,0.5390781563126252,0.09418837675350701,0.6266666666666666,1.1624783147459727,1.0,0.013164605764635476,1.234612081305468,0.16449217181854667,0.15824915824915822,0.19002898550724626,0.40069392812887233
"gomme, lacets",cuir,0.23446893787575152,0.5390781563126252,0.14428857715430862,0.6153846153846154,1.1415498999142122,1.0,0.01789149441166904,1.1983967935871744,0.16197643979057602,0.22929936305732487,0.16555183946488305,0.4415213039748356
cuir,"gomme, lacets",0.5390781563126252,0.23446893787575152,0.14428857715430862,0.2676579925650558,1.1415498999142122,1.0,0.01789149441166904,1.045319064524989,0.2690217391304349,0.22929936305732487,0.043354288717180195,0.4415213039748356
lacets,gomme,0.533066132264529,0.3927855711422846,0.23446893787575152,0.43984962406015043,1.119821236765383,1.0,0.02508825265761988,1.0840203897728344,0.22915520340413073,0.3391304347826087,0.07750812675252496,0.5183941997851773
gomme,lacets,0.3927855711422846,0.533066132264529,0.23446893787575152,0.5969387755102041,1.119821236765383,1.0,0.02508825265761988,1.1584688364069915,0.17621505740317642,0.3391304347826087,0.13679162652185353,0.5183941997851773
